seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Robert,Bridges,36,Jojpu Place,Mokfumu,CA,28983,$5018.62,RED,02/11/1996
2,Susan,Lloyd,39,Obvef Court,Sedonjeh,NV,00327,$8551.55,BLUE,12/21/1998
3,Trevor,Terry,20,Mugit Road,Laloozi,MA,02924,$9050.34,BLUE,10/27/1974
4,Craig,Carroll,53,Ikefa Point,Vumiwume,LA,47989,$3392.81,RED,11/16/2046
5,Martha,Cummings,33,Nitjij Highway,Gobamti,VA,92031,$5344.40,RED,02/07/2064
6,Genevieve,Peterson,61,Gano Junction,Vifhine,TX,83872,$9524.62,WHITE,07/05/1927
7,Rose,Palmer,51,Dipce Heights,Ofalopza,NC,49126,$3028.80,GREEN,08/09/1900
8,Jane,Miles,42,Ufotak River,Inruav,PA,88806,$6331.33,RED,09/05/1917
9,Genevieve,Wolfe,61,Mesjo Way,Bedipul,CT,14336,$946.36,GREEN,10/28/1988
10,Franklin,Norman,33,Zuvtuk Pike,Sescebmag,RI,46743,$7162.76,RED,01/15/2028
11,Stella,Mathis,58,Masto Extension,Pikipzil,NM,12666,$2595.48,YELLOW,12/07/1970
12,Alvin,Reid,19,Dawaku Trail,Pefukam,UT,21245,$964.93,YELLOW,03/16/1984
13,Garrett,Roberts,52,Zoob Path,Mezaju,DE,18833,$1214.74,WHITE,01/05/1911
14,Cody,Ball,40,Jeom Terrace,Wasucdu,ID,76186,$1465.95,GREEN,01/26/1931
15,Ray,Blake,40,Uhuom River,Zegbotsip,WV,49068,$4166.39,BLUE,11/23/1977
16,Theodore,Dawson,53,Zihara Center,Sigutut,AR,91815,$7387.06,YELLOW,11/24/1949
17,Dorothy,Walton,59,Esolet Point,Hetutdo,AL,69855,$2208.19,WHITE,02/07/1974
18,Gregory,Rodriguez,64,Wovad Street,Ericaidu,VT,63606,$9109.15,RED,08/18/2035
19,Aaron,Dean,26,Duskur Terrace,Onofimoc,NV,07566,$3688.28,BLUE,08/13/2013
20,Brandon,Lynch,24,Hewu River,Gehedsiw,NE,88218,$4336.57,BLUE,08/15/1944
21,Henrietta,Norman,37,Tezeri Junction,Gezihi,MT,53330,$1359.92,YELLOW,04/28/1937
22,Nina,Cain,37,Jubbev Parkway,Ficremig,OR,91835,$2604.17,RED,10/08/2066
23,Ronnie,Rose,49,Datbu Pike,Jupinuf,KS,34270,$6274.91,YELLOW,11/08/1919
24,Christina,McBride,57,Girvop Junction,Vuktofet,GA,15831,$4073.13,GREEN,06/26/2020
25,Leo,Ellis,25,Cuje Glen,Juskekju,UT,14426,$1359.40,BLUE,01/08/1967
26,Lucas,Greer,56,Migef Manor,Daupuker,WY,93239,$259.50,RED,04/26/2019
27,Brett,Cook,40,Gale Terrace,Nusoha,MN,84659,$3351.06,GREEN,12/07/1958
28,Gabriel,Malone,59,Uvifa Highway,Mirvimiv,AK,03888,$7030.47,WHITE,04/19/1927
29,Rachel,Owen,32,Wavih Grove,Emsenpi,RI,37875,$5392.31,BLUE,12/05/2046
30,Margaret,Carson,55,Kismip Trail,Genoene,HI,17903,$161.55,RED,08/09/1969
31,Mark,George,25,Unku Lane,Vamronab,GA,50833,$4812.14,GREEN,12/26/1907
32,Addie,Park,55,Menir Junction,Rumbipza,DE,87571,$2496.67,RED,04/21/1977
33,Bess,Ruiz,34,Mubgo Lane,Hanobakip,NE,78650,$5908.14,BLUE,11/09/1968
34,Alejandro,Ramos,19,Cavcaf Parkway,Dihduheru,WV,18327,$1963.40,YELLOW,09/18/1931
35,Adelaide,Collier,59,Famok Pass,Hosohig,TN,91466,$6611.07,RED,04/01/2042
36,Martin,Becker,40,Hiwi Boulevard,Ednumge,MI,78219,$5305.92,RED,04/21/1928
37,Joe,Barnett,38,Guzo View,Nucobuuwu,AL,40252,$7979.35,RED,02/01/1960
38,Dora,Becker,57,Pula Path,Tuummi,IA,93764,$6682.07,WHITE,02/12/1980
39,Marcus,Goodman,19,Asolu Mill,Feodluw,OH,63837,$5747.87,GREEN,04/19/2042
40,Birdie,Brady,25,Abci Path,Hojavij,SC,06045,$1908.35,YELLOW,05/05/1981
41,Kevin,Turner,26,Nupem Path,Zaneji,WY,00939,$7625.63,YELLOW,10/31/1959
42,Olivia,Caldwell,23,Wolal Grove,Bejubel,PA,17069,$6326.28,WHITE,05/22/1947
43,Miguel,Farmer,60,Rohac Parkway,Tergurab,DC,99490,$4167.63,BLUE,02/19/2047
44,Roy,Abbott,60,Luhi Glen,Ozojoduni,MI,75496,$8335.83,GREEN,08/20/1982
